Rank,Country,Medals,Population,"Population
per Medal",GDP (US Billion),GDP per Medal,Gold Medals,Population per Gold Medal,Weighted Medals,Population per Weighted Medal
1,Grenada,1,110821,110821,0.82,0.82,1,110821,4,27705.25
2,Jamaica,12,2705827,225485,15.07,1.2558333333,4,676456.75,28,96636.6785714286
3,Trinidad and Tobago,4,1317714,329428,22.48,5.62,1,1317714,7,188244.857142857
4,New Zealand,13,4432620,340970,130.68,10.0523076923,6,738770,33,134321.818181818
5,Bahamas,1,353658,353658,7.79,7.79,1,353658,4,88414.5
6,Slovenia,4,2057540,514385,49.54,12.385,1,2057540,8,257192.5
7,Mongolia,5,2736800,547360,8.56,1.712,0,0,7,390971.428571429
8,Hungary,17,9962000,586000,140.3,8.2529411765,8,1245250,45,221377.777777778
9,Montenegro,1,620029,620029,4.55,4.55,0,0,2,310014.5
10,Denmark,9,5580516,620057,332.68,36.9644444444,2,2790258,19,293711.368421053
11,Georgia,7,4469200,638457,14.37,2.0528571429,1,4469200,13,343784.615384615
12,Lithuania,5,3192800,638560,42.73,8.546,2,1596400,12,266066.666666667
13,Australia,35,22880619,653731,1371.76,39.1931428571,7,3268659.85714286,72,317786.375
14,Estonia,2,1318005,659002,22.18,11.09,0,0,3,439335
15,Croatia,6,4290612,715102,63.85,10.6416666667,3,1430204,16,268163.25
16,Belarus,12,9461400,788450,55.14,4.595,2,4730700,23,411365.217391304
17,Cuba,14,11241161,802940,60.81,4.3435714286,5,2248232.2,32,351286.28125
18,Netherlands,20,16731770,836588,836.26,41.813,6,2788628.33333333,44,380267.5
19,Cyprus,1,838897,838897,24.69,24.69,0,0,2,419448.5
20,Qatar,2,1699435,849717,172.98,86.49,0,0,2,849717.5
21,Azerbaijan,10,9111100,911110,63.4,6.34,2,4555550,18,506172.222222222
22,Ireland,5,4588252,917650,217.28,43.456,1,4588252,9,509805.777777778
23,Great Britain,65,62262000,957876,2431.59,37.4090769231,29,2146965.51724138,169,368414.201183432
24,Latvia,2,2070371,1035185,28.25,14.125,1,2070371,5,414074.2
25,Czech Republic,10,10504203,1050420,215.22,21.522,4,2626050.75,25,420168.12
26,Armenia,3,3268500,1089500,10.25,3.4166666667,0,0,4,817125
27,Sweden,8,9490683,1186335,538.13,67.26625,1,9490683,15,632712.2
28,Bahrain,1,1234571,1234571,21.9,21.9,0,0,1,1234571
29,Norway,4,5005700,1251425,485.8,121.45,2,2502850,11,455063.636363636
30,Kazakhstan,13,16718000,1286000,186.2,14.3230769231,7,2388285.71428571,35,477657.142857143
31,Slovakia,4,5445324,1361331,95.99,23.9975,0,0,5,1089064.8
32,Gabon,1,1534000,1534000,17.05,17.05,0,0,2,767000
33,South Korea,28,48580000,1735000,1116.25,39.8660714286,13,3736923.07692308,75,647733.333333333
34,Russia,82,143056383,1744590,1857.77,22.6557317073,24,5960682.625,180,794757.683333333
35,Moldova,2,3559500,1779750,7,3.5,0,0,2,1779750
36,Serbia,4,7120666,1780166,45.04,11.26,1,7120666,8,890083.25
37,Finland,3,5407040,1802346,266.07,88.69,0,0,4,1351760
38,Germany,44,81831000,1859795,3570.56,81.1490909091,11,7439181.81818182,96,852406.25
39,Puerto Rico,2,3725789,1862894,92.61,46.305,0,0,3,1241929.66666667
40,France,34,65350000,1922058,2773.03,81.5597058824,11,5940909.09090909,78,837820.512820513
41,Canada,18,34771400,1931744,1736.05,96.4472222222,1,34771400,26,1337361.53846154
42,Switzerland,4,7870100,1967525,635.65,158.9125,2,3935050,12,655841.666666667
43,Botswana,1,2038228,2038228,17.63,17.63,0,0,2,1019114
44,Romania,9,19042936,2115881,179.79,19.9766666667,2,9521468,20,952146.8
45,Italy,28,60776531,2170590,2194.75,78.3839285714,8,7597066.375,61,996336.573770492
46,Ukraine,20,45644419,2282220,165.25,8.2625,6,7607403.16666667,43,1061498.11627907
47,Singapore,2,5183700,2591850,239.7,119.85,0,0,2,2591850
48,Spain,17,46196278,2717428,1490.81,87.6947058824,3,15398759.3333333,36,1283229.94444444
49,United States,104,313382000,3013288,15094,145.1346153846,46,6812652.17391304,271,1156391.14391144
50,Japan,38,127650000,3359210,5867.15,154.3986842105,7,18235714.2857143,73,1748630.1369863
51,Kenya,11,38610097,3510008,33.62,3.0563636364,2,19305048.5,21,1838576.04761905
52,Tunisia,3,10673800,3557933,45.86,15.2866666667,1,10673800,7,1524828.57142857
53,Kuwait,1,3582054,3582054,176.59,176.59,0,0,1,3582054
54,Belgium,3,10951266,3650422,511.53,170.51,0,0,4,2737816.5
55,Bulgaria,2,7364570,3682285,53.51,26.755,0,0,3,2454856.66666667
56,Poland,10,38501000,3850100,514.5,51.45,2,19250500,18,2138944.44444444
57,North Korea,6,24052231,4008705,22,3.6666666667,4,6013057.75,18,1336235.05555556
58,Dominican Republic,2,9378818,4689409,55.61,27.805,1,9378818,6,1563136.33333333
59,Greece,2,10787690,5393845,298.73,149.365,0,0,2,5393845
60,Colombia,8,46475000,5809375,331.65,41.45625,1,46475000,14,3319642.85714286
61,Iran,12,76309000,6359083,86.53,7.2108333333,4,19077250,29,2631344.82758621
62,Hong Kong,1,7103700,7103700,243.67,243.67,0,0,1,7103700
63,Uzbekistan,4,29123400,7280850,45.36,11.34,1,29123400,7,4160485.71428571
64,Tajikistan,1,7616000,7616000,6.52,6.52,0,0,1,7616000
65,South Africa,6,50586757,8431126,408.24,68.04,3,16862252.3333333,17,2975691.58823529
66,Argentina,4,40117096,10029274,445.99,111.4975,1,40117096,8,5014637
67,Portugal,1,10561614,10561614,237.52,237.52,0,0,2,5280807
68,Brazil,17,192376496,11316264,2476.65,145.6852941176,3,64125498.6666667,31,6205693.41935484
69,Taiwan,2,23234003,11617001,466,233,0,0,3,7744667.66666667
70,Ethiopia,7,84320987,12045855,31.71,4.53,3,28106995.6666667,17,4960058.05882353
71,Malaysia,2,28334135,14167067,278.67,139.335,0,0,3,9444711.66666667
72,Guatemala,1,14713763,14713763,46.9,46.9,0,0,2,7356881.5
73,Turkey,5,74724269,14944853,773.09,154.618,2,37362134.5,13,5748020.69230769
74,China,88,1347350000,15310795,7298.1,82.9329545455,38,35456578.9473684,229,5883624.45414847
75,Mexico,7,112336538,16048076,1155.32,165.0457142857,1,112336538,13,8641272.15384615
76,Thailand,3,65479453,21826484,345.65,115.2166666667,0,0,5,13095890.6
77,Afghanistan,1,24485600,24485600,20.34,20.34,0,0,1,24485600
78,Saudi Arabia,1,27136977,27136977,576.82,576.82,0,0,1,27136977
79,Venezuela,1,27150095,27150095,316.48,316.48,1,27150095,4,6787523.75
80,Morocco,1,32526800,32526800,100.22,100.22,0,0,1,32526800
81,Uganda,1,32939800,32939800,16.81,16.81,1,32939800,4,8234950
82,Algeria,1,37100000,37100000,188.68,188.68,1,37100000,4,9275000
83,Egypt,2,81927000,40963500,229.53,114.765,0,0,4,20481750
84,Indonesia,2,237641326,118820663,846.83,423.415,0,0,3,79213775.3333333
85,India,6,1241491960,206915326,1847.98,307.9966666667,0,0,8,155186495
